service_id,date,exception_type
EN_D3-Sunday,20230904,1
EN_D3-Sunday,20231123,1
EN_D3-Sunday,20231225,1
EN_D3-Sunday,20240101,1
EN_D3-Weekday,20230907,2
EN_D3-Weekday,20230908,2
EN_D3-Weekday,20230911,2
EN_D3-Weekday,20230912,2
EN_D3-Weekday,20230913,2
EN_D3-Weekday,20230914,2
EN_D3-Weekday,20230918,2
EN_D3-Weekday,20230919,2
EN_D3-Weekday,20230920,2
EN_D3-Weekday,20230921,2
EN_D3-Weekday,20230922,2
EN_D3-Weekday,20230926,2
EN_D3-Weekday,20230927,2
EN_D3-Weekday,20230928,2
EN_D3-Weekday,20230929,2
EN_D3-Weekday,20231002,2
EN_D3-Weekday,20231003,2
EN_D3-Weekday,20231004,2
EN_D3-Weekday,20231005,2
EN_D3-Weekday,20231006,2
EN_D3-Weekday,20231009,2
EN_D3-Weekday,20231010,2
EN_D3-Weekday,20231011,2
EN_D3-Weekday,20231012,2
EN_D3-Weekday,20231013,2
EN_D3-Weekday,20231016,2
EN_D3-Weekday,20231017,2
EN_D3-Weekday,20231018,2
EN_D3-Weekday,20231019,2
EN_D3-Weekday,20231020,2
EN_D3-Weekday,20231023,2
EN_D3-Weekday,20231024,2
EN_D3-Weekday,20231025,2
EN_D3-Weekday,20231026,2
EN_D3-Weekday,20231027,2
EN_D3-Weekday,20231030,2
EN_D3-Weekday,20231031,2
EN_D3-Weekday,20231101,2
EN_D3-Weekday,20231102,2
EN_D3-Weekday,20231103,2
EN_D3-Weekday,20231106,2
EN_D3-Weekday-SDon,20230915,2
EN_D3-Weekday-SDon,20230925,2
EN_D3-Weekday-SDon,20231009,2
EN_D3-Weekday-SDon,20231107,2
EN_D3-Weekday-SDon,20231123,2
EN_D3-Weekday-SDon,20231124,2
EN_D3-Weekday-SDon,20231225,2
EN_D3-Weekday-SDon,20231226,2
EN_D3-Weekday-SDon,20231227,2
EN_D3-Weekday-SDon,20231228,2
EN_D3-Weekday-SDon,20231229,2
EN_D3-Weekday-SDon,20240101,2
EN_O3-Weekday,20231010,2
EN_O3-Weekday,20231011,2
EN_O3-Weekday,20231012,2
EN_O3-Weekday,20231013,2
EN_O3-Weekday,20231016,2
EN_O3-Weekday,20231017,2
EN_O3-Weekday,20231018,2
EN_O3-Weekday,20231019,2
EN_O3-Weekday,20231020,2
EN_O3-Weekday,20231023,2
EN_O3-Weekday,20231024,2
EN_O3-Weekday,20231025,2
EN_O3-Weekday,20231026,2
EN_O3-Weekday,20231027,2
EN_O3-Weekday,20231030,2
EN_O3-Weekday,20231031,2
EN_O3-Weekday,20231101,2
EN_O3-Weekday,20231102,2
EN_O3-Weekday,20231103,2
EN_O3-Weekday,20231106,2
EN_O3-Weekday,20231107,2
EN_O3-Weekday,20231108,2
EN_O3-Weekday,20231109,2
EN_O3-Weekday,20231110,2
EN_O3-Weekday,20231113,2
EN_O3-Weekday,20231114,2
EN_O3-Weekday,20231115,2
EN_O3-Weekday,20231116,2
EN_O3-Weekday,20231117,2
EN_O3-Weekday,20231120,2
EN_O3-Weekday,20231121,2
EN_O3-Weekday,20231122,2
EN_O3-Weekday,20231123,2
EN_O3-Weekday,20231127,2
EN_O3-Weekday,20231128,2
