service_id,date,exception_type
BPPD3-BP_D3-Sunday-04,20230904,1
BPPD3-BP_D3-Sunday-04,20231123,1
BPPD3-BP_D3-Sunday-04,20231225,1
BPPD3-BP_D3-Sunday-04,20240101,1
BPPD3-BP_D3-Weekday-04-SDon,20231123,2
BPPD3-BP_D3-Weekday-04-SDon,20231124,2
BPPD3-BP_D3-Weekday-04-SDon,20231225,2
BPPD3-BP_D3-Weekday-04-SDon,20240101,2
BPPD3-BP_D3-Weekday-04-SDon,20230905,2
BPPD3-BP_D3-Weekday-04-SDon,20230906,2
BPPD3-BP_D3-Weekday-04-SDon,20230925,2
BPPD3-BP_D3-Weekday-04-SDon,20231009,2
BPPD3-BP_D3-Weekday-04-SDon,20231107,2
BPPD3-BP_D3-Weekday-04-SDon,20231226,2
BPPD3-BP_D3-Weekday-04-SDon,20231227,2
BPPD3-BP_D3-Weekday-04-SDon,20231228,2
BPPD3-BP_D3-Weekday-04-SDon,20231229,2
BPPD3-BP_D3-Weekday-04,20230905,1
BPPD3-BP_D3-Weekday-04,20230906,1
BPPD3-BP_D3-Weekday-04,20230925,1
BPPD3-BP_D3-Weekday-04,20231009,1
BPPD3-BP_D3-Weekday-04,20231107,1
BPPD3-BP_D3-Weekday-04,20231226,1
BPPD3-BP_D3-Weekday-04,20231227,1
BPPD3-BP_D3-Weekday-04,20231228,1
BPPD3-BP_D3-Weekday-04,20231229,1
CPPD3-CP_D3-Sunday-04,20230904,1
CPPD3-CP_D3-Sunday-04,20231123,1
CPPD3-CP_D3-Sunday-04,20231225,1
CPPD3-CP_D3-Sunday-04,20240101,1
CPPD3-CP_D3-Weekday-04-SDon,20231123,2
CPPD3-CP_D3-Weekday-04-SDon,20231124,2
CPPD3-CP_D3-Weekday-04-SDon,20231225,2
CPPD3-CP_D3-Weekday-04-SDon,20240101,2
CPPD3-CP_D3-Weekday-04-SDon,20230905,2
CPPD3-CP_D3-Weekday-04-SDon,20230906,2
CPPD3-CP_D3-Weekday-04-SDon,20230925,2
CPPD3-CP_D3-Weekday-04-SDon,20231009,2
CPPD3-CP_D3-Weekday-04-SDon,20231107,2
CPPD3-CP_D3-Weekday-04-SDon,20231226,2
CPPD3-CP_D3-Weekday-04-SDon,20231227,2
CPPD3-CP_D3-Weekday-04-SDon,20231228,2
CPPD3-CP_D3-Weekday-04-SDon,20231229,2
CPPD3-CP_D3-Weekday-04,20230905,1
CPPD3-CP_D3-Weekday-04,20230906,1
CPPD3-CP_D3-Weekday-04,20230925,1
CPPD3-CP_D3-Weekday-04,20231009,1
CPPD3-CP_D3-Weekday-04,20231107,1
CPPD3-CP_D3-Weekday-04,20231226,1
CPPD3-CP_D3-Weekday-04,20231227,1
CPPD3-CP_D3-Weekday-04,20231228,1
CPPD3-CP_D3-Weekday-04,20231229,1
ECPD3-EC_D3-Sunday-04,20230904,1
ECPD3-EC_D3-Sunday-04,20231123,1
ECPD3-EC_D3-Sunday-04,20231225,1
ECPD3-EC_D3-Sunday-04,20240101,1
ECPD3-EC_D3-Weekday-04-SDon,20231123,2
ECPD3-EC_D3-Weekday-04-SDon,20231124,2
ECPD3-EC_D3-Weekday-04-SDon,20231225,2
ECPD3-EC_D3-Weekday-04-SDon,20240101,2
ECPD3-EC_D3-Weekday-04-SDon,20230905,2
ECPD3-EC_D3-Weekday-04-SDon,20230906,2
ECPD3-EC_D3-Weekday-04-SDon,20230925,2
ECPD3-EC_D3-Weekday-04-SDon,20231009,2
ECPD3-EC_D3-Weekday-04-SDon,20231107,2
ECPD3-EC_D3-Weekday-04-SDon,20231226,2
ECPD3-EC_D3-Weekday-04-SDon,20231227,2
ECPD3-EC_D3-Weekday-04-SDon,20231228,2
ECPD3-EC_D3-Weekday-04-SDon,20231229,2
ECPD3-EC_D3-Weekday-04,20230905,1
ECPD3-EC_D3-Weekday-04,20230906,1
ECPD3-EC_D3-Weekday-04,20230925,1
ECPD3-EC_D3-Weekday-04,20231009,1
ECPD3-EC_D3-Weekday-04,20231107,1
ECPD3-EC_D3-Weekday-04,20231226,1
ECPD3-EC_D3-Weekday-04,20231227,1
ECPD3-EC_D3-Weekday-04,20231228,1
ECPD3-EC_D3-Weekday-04,20231229,1
FRPD3-FR_D3-Sunday-04,20230904,1
FRPD3-FR_D3-Sunday-04,20231123,1
FRPD3-FR_D3-Sunday-04,20231225,1
FRPD3-FR_D3-Sunday-04,20240101,1
FRPD3-FR_D3-Weekday-04-SDon,20231123,2
