service_id,date,exception_type
MQ_D3-Sunday,20230904,1
MQ_D3-Sunday,20231123,1
MQ_D3-Sunday,20231225,1
MQ_D3-Sunday,20240101,1
MQ_D3-Weekday-SDon,20231009,2
MQ_D3-Weekday-SDon,20231123,2
MQ_D3-Weekday-SDon,20231124,2
MQ_D3-Weekday-SDon,20231225,2
MQ_D3-Weekday-SDon,20231226,2
MQ_D3-Weekday-SDon,20231227,2
MQ_D3-Weekday-SDon,20231228,2
MQ_D3-Weekday-SDon,20231229,2
MQ_D3-Weekday-SDon,20240101,2
MQ_D3-Weekday-SDon,20230905,2
MQ_D3-Weekday-SDon,20230906,2
MQ_D3-Weekday-SDon,20230925,2
MQ_D3-Weekday-SDon,20231107,2
MQ_D3-Weekday,20230905,1
MQ_D3-Weekday,20230906,1
MQ_D3-Weekday,20230925,1
MQ_D3-Weekday,20231107,1
MQ_O3-Weekday,20231010,2
MQ_O3-Weekday,20231011,2
MQ_O3-Weekday,20231012,2
MQ_O3-Weekday,20231013,2
MQ_O3-Weekday,20231016,2
MQ_O3-Weekday,20231017,2
MQ_O3-Weekday,20231018,2
MQ_O3-Weekday,20231019,2
MQ_O3-Weekday,20231020,2
MQ_O3-Weekday,20231023,2
MQ_O3-Weekday,20231024,2
MQ_O3-Weekday,20231025,2
MQ_O3-Weekday,20231026,2
MQ_O3-Weekday,20231027,2
MQ_O3-Weekday,20231030,2
MQ_O3-Weekday,20231031,2
MQ_O3-Weekday,20231101,2
MQ_O3-Weekday,20231102,2
MQ_O3-Weekday,20231103,2
MQ_O3-Weekday,20231106,2
MQ_O3-Weekday,20231107,2
MQ_O3-Weekday,20231108,2
MQ_O3-Weekday,20231109,2
MQ_O3-Weekday,20231110,2
MQ_O3-Weekday,20231113,2
MQ_O3-Weekday,20231114,2
MQ_O3-Weekday,20231115,2
MQ_O3-Weekday,20231116,2
MQ_O3-Weekday,20231117,2
MQ_O3-Weekday,20231120,2
MQ_O3-Weekday,20231121,2
MQ_O3-Weekday,20231122,2
MQ_O3-Weekday,20231123,2
MQ_O3-Weekday,20231127,2
MQ_O3-Weekday,20231128,2
MQ_O3-Weekday,20231129,2
MQ_O3-Weekday,20231130,2
MQ_O3-Weekday,20231201,2
MQ_O3-Weekday,20231204,2
MQ_O3-Weekday,20231205,2
MQ_O3-Weekday,20231206,2
MQ_O3-Weekday,20231207,2
MQ_O3-Weekday,20231208,2
MQ_O3-Weekday,20231211,2
MQ_O3-Weekday,20231212,2
MQ_O3-Weekday,20231213,2
MQ_O3-Weekday,20231214,2
MQ_O3-Weekday,20231215,2
MQ_O3-Weekday,20231218,2
MQ_O3-Weekday,20231219,2
MQ_O3-Weekday,20231220,2
MQ_O3-Weekday,20231221,2
MQ_O3-Weekday,20231222,2
MQ_O3-Weekday,20231225,2
MV_D3-Sunday,20230904,1
MV_D3-Sunday,20231123,1
MV_D3-Sunday,20231225,1
MV_D3-Sunday,20240101,1
MV_D3-Weekday-SDon,20231009,2
MV_D3-Weekday-SDon,20231123,2
MV_D3-Weekday-SDon,20231124,2
MV_D3-Weekday-SDon,20231225,2
MV_D3-Weekday-SDon,20231226,2
MV_D3-Weekday-SDon,20231227,2
MV_D3-Weekday-SDon,20231228,2
MV_D3-Weekday-SDon,20231229,2
MV_D3-Weekday-SDon,20240101,2
MV_D3-Weekday-SDon,20230905,2
MV_D3-Weekday-SDon,20230906,2
MV_D3-Weekday-SDon,20230925,2
MV_D3-Weekday-SDon,20231107,2
MV_D3-Weekday,20230905,1
MV_D3-Weekday,20230906,1
MV_D3-Weekday,20230925,1
MV_D3-Weekday,20231107,1
MV_O3-Weekday,20231010,2
MV_O3-Weekday,20231011,2
MV_O3-Weekday,20231012,2
MV_O3-Weekday,20231013,2
MV_O3-Weekday,20231016,2
MV_O3-Weekday,20231017,2
MV_O3-Weekday,20231018,2
MV_O3-Weekday,20231019,2
MV_O3-Weekday,20231020,2
MV_O3-Weekday,20231023,2
MV_O3-Weekday,20231024,2
MV_O3-Weekday,20231025,2
MV_O3-Weekday,20231026,2
MV_O3-Weekday,20231027,2
MV_O3-Weekday,20231030,2
MV_O3-Weekday,20231031,2
MV_O3-Weekday,20231101,2
MV_O3-Weekday,20231102,2
MV_O3-Weekday,20231103,2
MV_O3-Weekday,20231106,2
MV_O3-Weekday,20231107,2
MV_O3-Weekday,20231108,2
MV_O3-Weekday,20231109,2
MV_O3-Weekday,20231110,2
MV_O3-Weekday,20231113,2
MV_O3-Weekday,20231114,2
MV_O3-Weekday,20231115,2
MV_O3-Weekday,20231116,2
MV_O3-Weekday,20231117,2
MV_O3-Weekday,20231120,2
MV_O3-Weekday,20231121,2
MV_O3-Weekday,20231122,2
MV_O3-Weekday,20231123,2
MV_O3-Weekday,20231127,2
MV_O3-Weekday,20231128,2
MV_O3-Weekday,20231129,2
MV_O3-Weekday,20231130,2
MV_O3-Weekday,20231201,2
MV_O3-Weekday,20231204,2
MV_O3-Weekday,20231205,2
MV_O3-Weekday,20231206,2
MV_O3-Weekday,20231207,2
MV_O3-Weekday,20231208,2
MV_O3-Weekday,20231211,2
MV_O3-Weekday,20231212,2
MV_O3-Weekday,20231213,2
MV_O3-Weekday,20231214,2
MV_O3-Weekday,20231215,2
MV_O3-Weekday,20231218,2
MV_O3-Weekday,20231219,2
MV_O3-Weekday,20231220,2
MV_O3-Weekday,20231221,2
MV_O3-Weekday,20231222,2
MV_O3-Weekday,20231225,2
OF_D3-Sunday,20230904,1
OF_D3-Sunday,20231123,1
OF_D3-Sunday,20231225,1
OF_D3-Sunday,20240101,1
OF_D3-Weekday-SDon,20231009,2
OF_D3-Weekday-SDon,20231123,2
OF_D3-Weekday-SDon,20231124,2
OF_D3-Weekday-SDon,20231225,2
OF_D3-Weekday-SDon,20231226,2
OF_D3-Weekday-SDon,20231227,2
OF_D3-Weekday-SDon,20231228,2
OF_D3-Weekday-SDon,20231229,2
OF_D3-Weekday-SDon,20240101,2
OF_D3-Weekday-SDon,20230905,2
OF_D3-Weekday-SDon,20230906,2
