service_id,date,exception_type
CS_D3-Sunday,20230904,1
CS_D3-Sunday-BM,20230903,1
CS_D3-Sunday,20231123,1
CS_D3-Sunday-BM,20231122,1
CS_D3-Sunday,20231225,1
CS_D3-Sunday-BM,20231224,1
CS_D3-Sunday,20240101,1
CS_D3-Sunday-BM,20231231,1
CS_D3-Weekday-SDon,20231009,2
CS_D3-Weekday-SDon-BM,20231008,2
CS_D3-Weekday-SDon,20231123,2
CS_D3-Weekday-SDon-BM,20231122,2
CS_D3-Weekday-SDon,20231124,2
CS_D3-Weekday-SDon-BM,20231123,2
CS_D3-Weekday-SDon,20231225,2
CS_D3-Weekday-SDon-BM,20231224,2
CS_D3-Weekday-SDon,20231226,2
CS_D3-Weekday-SDon-BM,20231225,2
CS_D3-Weekday-SDon,20231227,2
CS_D3-Weekday-SDon-BM,20231226,2
CS_D3-Weekday-SDon,20231228,2
CS_D3-Weekday-SDon-BM,20231227,2
CS_D3-Weekday-SDon,20231229,2
CS_D3-Weekday-SDon-BM,20231228,2
CS_D3-Weekday-SDon,20240101,2
CS_D3-Weekday-SDon-BM,20231231,2
CS_D3-Weekday-SDon,20230905,2
CS_D3-Weekday-SDon-BM,20230904,2
CS_D3-Weekday-SDon,20230906,2
CS_D3-Weekday-SDon-BM,20230905,2
CS_D3-Weekday-SDon,20230925,2
CS_D3-Weekday-SDon-BM,20230924,2
CS_D3-Weekday-SDon,20231107,2
CS_D3-Weekday-SDon-BM,20231106,2
CS_D3-Weekday,20230905,1
CS_D3-Weekday-BM,20230904,1
CS_D3-Weekday,20230906,1
CS_D3-Weekday-BM,20230905,1
CS_D3-Weekday,20230925,1
CS_D3-Weekday-BM,20230924,1
CS_D3-Weekday,20231107,1
CS_D3-Weekday-BM,20231106,1
CS_O3-Weekday,20231010,2
CS_O3-Weekday-BM,20231009,2
CS_O3-Weekday,20231011,2
CS_O3-Weekday-BM,20231010,2
CS_O3-Weekday,20231012,2
CS_O3-Weekday-BM,20231011,2
CS_O3-Weekday,20231013,2
CS_O3-Weekday-BM,20231012,2
CS_O3-Weekday,20231016,2
CS_O3-Weekday-BM,20231015,2
CS_O3-Weekday,20231017,2
CS_O3-Weekday-BM,20231016,2
CS_O3-Weekday,20231018,2
CS_O3-Weekday-BM,20231017,2
CS_O3-Weekday,20231019,2
CS_O3-Weekday-BM,20231018,2
CS_O3-Weekday,20231020,2
CS_O3-Weekday-BM,20231019,2
CS_O3-Weekday,20231023,2
CS_O3-Weekday-BM,20231022,2
CS_O3-Weekday,20231024,2
CS_O3-Weekday-BM,20231023,2
CS_O3-Weekday,20231025,2
CS_O3-Weekday-BM,20231024,2
CS_O3-Weekday,20231026,2
CS_O3-Weekday-BM,20231025,2
CS_O3-Weekday,20231027,2
CS_O3-Weekday-BM,20231026,2
CS_O3-Weekday,20231030,2
CS_O3-Weekday-BM,20231029,2
CS_O3-Weekday,20231031,2
CS_O3-Weekday-BM,20231030,2
CS_O3-Weekday,20231101,2
CS_O3-Weekday-BM,20231031,2
CS_O3-Weekday,20231102,2
CS_O3-Weekday-BM,20231101,2
CS_O3-Weekday,20231103,2
CS_O3-Weekday-BM,20231102,2
CS_O3-Weekday,20231106,2
CS_O3-Weekday-BM,20231105,2
CS_O3-Weekday,20231107,2
CS_O3-Weekday-BM,20231106,2
CS_O3-Weekday,20231108,2
CS_O3-Weekday-BM,20231107,2
CS_O3-Weekday,20231109,2
CS_O3-Weekday-BM,20231108,2
CS_O3-Weekday,20231110,2
CS_O3-Weekday-BM,20231109,2
CS_O3-Weekday,20231113,2
CS_O3-Weekday-BM,20231112,2
CS_O3-Weekday,20231114,2
CS_O3-Weekday-BM,20231113,2
CS_O3-Weekday,20231115,2
CS_O3-Weekday-BM,20231114,2
CS_O3-Weekday,20231116,2
CS_O3-Weekday-BM,20231115,2
CS_O3-Weekday,20231117,2
