service_id,date,exception_type
CA_D3-Sunday,20230904,1
CA_D3-Sunday,20231123,1
CA_D3-Sunday,20231225,1
CA_D3-Sunday,20240101,1
CA_D3-Weekday-SDon,20231123,2
CA_D3-Weekday-SDon,20231124,2
CA_D3-Weekday-SDon,20231225,2
CA_D3-Weekday-SDon,20240101,2
CA_D3-Weekday-SDon,20230905,2
CA_D3-Weekday-SDon,20230906,2
CA_D3-Weekday-SDon,20230925,2
CA_D3-Weekday-SDon,20231009,2
CA_D3-Weekday-SDon,20231107,2
CA_D3-Weekday-SDon,20231226,2
CA_D3-Weekday-SDon,20231227,2
CA_D3-Weekday-SDon,20231228,2
CA_D3-Weekday-SDon,20231229,2
CA_D3-Weekday,20230905,1
CA_D3-Weekday,20230906,1
CA_D3-Weekday,20230925,1
CA_D3-Weekday,20231009,1
CA_D3-Weekday,20231107,1
CA_D3-Weekday,20231226,1
CA_D3-Weekday,20231227,1
CA_D3-Weekday,20231228,1
CA_D3-Weekday,20231229,1
CH_D3-Sunday,20230904,1
CH_D3-Sunday,20231123,1
CH_D3-Sunday,20231225,1
CH_D3-Sunday,20240101,1
CH_D3-Weekday-SDon,20231123,2
CH_D3-Weekday-SDon,20231124,2
CH_D3-Weekday-SDon,20231225,2
CH_D3-Weekday-SDon,20240101,2
CH_D3-Weekday-SDon,20230905,2
CH_D3-Weekday-SDon,20230906,2
CH_D3-Weekday-SDon,20230925,2
CH_D3-Weekday-SDon,20231009,2
CH_D3-Weekday-SDon,20231107,2
CH_D3-Weekday-SDon,20231226,2
CH_D3-Weekday-SDon,20231227,2
CH_D3-Weekday-SDon,20231228,2
CH_D3-Weekday-SDon,20231229,2
CH_D3-Weekday,20230905,1
CH_D3-Weekday,20230906,1
CH_D3-Weekday,20230925,1
CH_D3-Weekday,20231009,1
CH_D3-Weekday,20231107,1
CH_D3-Weekday,20231226,1
CH_D3-Weekday,20231227,1
CH_D3-Weekday,20231228,1
CH_D3-Weekday,20231229,1
MA_D3-Sunday,20230904,1
MA_D3-Sunday,20231123,1
MA_D3-Sunday,20231225,1
MA_D3-Sunday,20240101,1
MA_D3-Weekday-SDon,20231123,2
MA_D3-Weekday-SDon,20231124,2
MA_D3-Weekday-SDon,20231225,2
MA_D3-Weekday-SDon,20240101,2
MA_D3-Weekday-SDon,20230905,2
MA_D3-Weekday-SDon,20230906,2
MA_D3-Weekday-SDon,20230925,2
MA_D3-Weekday-SDon,20231009,2
MA_D3-Weekday-SDon,20231107,2
MA_D3-Weekday-SDon,20231226,2
MA_D3-Weekday-SDon,20231227,2
MA_D3-Weekday-SDon,20231228,2
MA_D3-Weekday-SDon,20231229,2
MA_D3-Weekday,20230905,1
MA_D3-Weekday,20230906,1
MA_D3-Weekday,20230925,1
MA_D3-Weekday,20231009,1
MA_D3-Weekday,20231107,1
MA_D3-Weekday,20231226,1
MA_D3-Weekday,20231227,1
MA_D3-Weekday,20231228,1
MA_D3-Weekday,20231229,1
YU_D3-Sunday,20230904,1
YU_D3-Sunday,20231123,1
YU_D3-Sunday,20231225,1
YU_D3-Sunday,20240101,1
YU_D3-Weekday-SDon,20231123,2
YU_D3-Weekday-SDon,20231124,2
YU_D3-Weekday-SDon,20231225,2
YU_D3-Weekday-SDon,20240101,2
YU_D3-Weekday-SDon,20230905,2
YU_D3-Weekday-SDon,20230906,2
YU_D3-Weekday-SDon,20230925,2
YU_D3-Weekday-SDon,20231009,2
YU_D3-Weekday-SDon,20231107,2
YU_D3-Weekday-SDon,20231226,2
YU_D3-Weekday-SDon,20231227,2
YU_D3-Weekday-SDon,20231228,2
YU_D3-Weekday-SDon,20231229,2
YU_D3-Weekday,20230905,1
YU_D3-Weekday,20230906,1
YU_D3-Weekday,20230925,1
YU_D3-Weekday,20231009,1
YU_D3-Weekday,20231107,1
YU_D3-Weekday,20231226,1
YU_D3-Weekday,20231227,1
YU_D3-Weekday,20231228,1
YU_D3-Weekday,20231229,1
