route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
S40,CA_S3-Weekday,CA_S3-Weekday-006000_S4090_1,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,34276155,S400029
S40,CA_S3-Weekday,CA_S3-Weekday-012000_S4090_3,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,34276157,S400029
S40,CA_S3-Weekday,CA_S3-Weekday-018000_S4090_2,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,34276156,S400029
S40,CA_S3-Weekday,CA_S3-Weekday-024000_S4090_1,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,34276155,S400029
S40,CA_S3-Weekday,CA_S3-Weekday-030000_S4090_5,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,34276226,S400029
S40,CA_S3-Weekday,CA_S3-Weekday-033000_MISC_206,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,34276164,S400029
S40,CA_S3-Weekday,CA_S3-Weekday-036000_S4090_4,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,34276167,S400029
S40,CA_S3-Weekday,CA_S3-Weekday-039000_MISC_225,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,34276169,S400029
S40,CA_S3-Weekday,CA_S3-Weekday-040500_S4090_5,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,34276226,S400029
S40,CA_S3-Weekday,CA_S3-Weekday-042000_S4090_6,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,34276163,S400029
S40,CA_S3-Weekday,CA_S3-Weekday-043500_MISC_206,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,34276164,S400029
S40,CA_S3-Weekday,CA_S3-Weekday-048000_S4090_3,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,34276161,S400029
S40,CA_S3-Weekday,CA_S3-Weekday-050000_MISC_252,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,34276159,S400029
